dataset,model,adaptive_mae,fixed_mae,improvement_pct,winner
wti,rf,4.177228985508763,6.750874917158471,38.1231464548152,Adaptive
wti,naive,17.610091991341992,17.422862554112555,-1.0746192633267526,Fixed
wti,lstm,36.94952325042338,34.241329225607494,-7.909138126537905,Fixed
wti,lgbm,3.609255190547196,5.851326313935743,38.31731479491658,Adaptive
wti,tsmixer,1.387586871202421,1.3688830729457937,-1.366354703793465,Fixed
wti,seasonal_naive,17.43097132034632,16.75738906926407,-4.019613367560424,Fixed
traffic,rf,322.34312909905265,329.0451073859362,2.0367962131777952,Adaptive
traffic,naive,2998.7485675766766,2216.1092012133468,-35.31592062046515,Fixed
traffic,lstm,2770.4222975366656,2625.6466307245287,-5.5139052269264095,Fixed
traffic,lgbm,190.88500627533094,194.60126167531536,1.9096769301449066,Adaptive
traffic,tsmixer,1422.7389218982357,897.5900325945864,-58.506541988400485,Fixed
traffic,seasonal_naive,2802.4795458375465,2075.3463515335357,-35.036715378457686,Fixed
electricity,rf,207.5648150712223,153.57590802961514,-35.15454196839006,Fixed
electricity,naive,959.58095684803,923.027689180738,-3.960148551961215,Fixed
electricity,lstm,959.58095684803,820.3559606015408,-16.971290870416787,Fixed
electricity,lgbm,210.42232841483303,119.52614111187674,-76.04711944801869,Fixed
electricity,tsmixer,557.7891269601043,633.4851987237593,11.949146075733859,Adaptive
electricity,seasonal_naive,456.7981394621639,249.90017198248904,-82.79224693537728,Fixed
brent,rf,4.613304383013584,8.126397216920518,43.23063148564886,Adaptive
brent,naive,17.99907332251082,19.89330221861472,9.521942990095516,Adaptive
brent,lstm,40.82643470734691,38.667792667244726,-5.582532364022839,Fixed
brent,lgbm,4.000780767988215,7.273497955749798,44.99509325048282,Adaptive
brent,tsmixer,1.3935524559189472,1.5131012286499455,7.900910426043661,Adaptive
brent,seasonal_naive,18.73003382034632,20.055098755411258,6.607122464093617,Adaptive
