step,entity_id,timestamp,mean_error,max_error,std_error,drift_detected,drift_score,retrained,retrain_reason,mae,rmse,smape
0,106,2016-07-31 02:00:00,42.041666666666664,123.0,41.43416380905443,True,0.1761111111111111,False,cooldown_period,42.041666666666664,59.02788888878431,16.737527682402597
1,106,2016-08-01 02:00:00,83.41666666666667,197.0,68.83973941134744,True,0.20305555555555554,False,cooldown_period,83.41666666666667,108.15382563737633,29.75469159995436
2,106,2016-08-02 02:00:00,91.0,228.0,80.22572322308268,True,0.23805555555555555,False,no_drift_consecutive_1/2,91.0,121.31433001367425,31.763079073062915
3,106,2016-08-03 02:00:00,100.08333333333333,228.0,73.47613936207833,True,0.3030555555555556,False,no_drift_consecutive_2/2,100.08333333333333,124.15883644214239,35.01078970312878
4,106,2016-08-04 02:00:00,64.20833333333333,164.0,37.23571221138235,True,0.32611111111111113,False,no_drift_consecutive_3/2,64.20833333333333,74.22404147803684,27.78989588088816
5,106,2016-08-05 02:00:00,59.333333333333336,138.0,34.044904986731204,True,0.43583333333333335,False,no_drift_consecutive_4/2,59.333333333333336,68.40687099992222,34.123302773047676
6,106,2016-08-06 02:00:00,68.875,128.0,31.550637209624362,True,0.44083333333333335,False,no_drift_consecutive_5/2,68.875,75.75756287878679,35.252307448008445
7,106,2016-08-07 02:00:00,60.333333333333336,138.0,43.91911757866828,True,0.49416666666666664,False,no_drift_consecutive_6/2,60.333333333333336,74.62573282722254,33.996372554619974
8,106,2016-08-08 02:00:00,58.666666666666664,138.0,35.414999960782474,True,0.5341666666666667,True,drift_detected_consecutive_1_threshold_0.534,58.666666666666664,68.52736679604726,30.333262200216744
9,106,2016-08-09 02:00:00,56.333333333333336,137.0,32.98695028172336,True,0.5341666666666667,False,cooldown_period,56.333333333333336,65.2808037123727,27.776569557745027
10,106,2016-08-10 02:00:00,52.583333333333336,104.0,28.1260802261689,True,0.5405555555555556,False,cooldown_period,52.583333333333336,59.63290478698261,25.128018839254068
11,106,2016-08-11 02:00:00,46.041666666666664,105.0,29.989552579004727,True,0.5555555555555556,False,no_drift_consecutive_1/2,46.041666666666664,54.947323259039045,22.700785564327212
12,106,2016-08-12 02:00:00,56.208333333333336,93.0,29.278802296010827,True,0.5569444444444445,True,drift_detected_consecutive_1_threshold_0.557,56.208333333333336,63.37684908545075,22.5258357168543
13,106,2016-08-13 02:00:00,55.291666666666664,154.0,35.26031665421562,True,0.5569444444444445,False,cooldown_period,55.291666666666664,65.57787990880259,21.03238321314105
14,106,2016-08-14 02:00:00,66.0,176.0,49.317001801272006,True,0.5569444444444445,False,cooldown_period,66.0,82.39033114793669,26.405375562158532
15,106,2016-08-15 02:00:00,75.75,186.0,57.929015470084884,True,0.5569444444444445,False,no_drift_consecutive_1/2,75.75,95.36159254822317,31.510568385989995
16,106,2016-08-16 02:00:00,76.16666666666667,187.0,55.122338686073746,True,0.59,True,drift_detected_consecutive_1_threshold_0.590,76.16666666666667,94.02038785993884,31.387509313971503
17,106,2016-08-17 02:00:00,47.916666666666664,116.0,35.40352697433156,True,0.58,False,cooldown_period,47.916666666666664,59.57698101336343,20.813565649437397
18,106,2016-08-18 02:00:00,56.416666666666664,124.0,41.390333680972205,True,0.57,False,cooldown_period,56.416666666666664,69.9714227381436,23.967590775136763
19,106,2016-08-19 02:00:00,70.45833333333333,94.0,24.47954786937228,True,0.635,False,no_drift_consecutive_1/2,70.45833333333333,74.58971108671759,38.67395846088614
20,106,2016-08-20 02:00:00,70.79166666666667,134.0,28.472178184247785,True,0.66,True,drift_detected_consecutive_1_threshold_0.660,70.79166666666667,76.30285053652976,31.67883024170937
21,106,2016-08-21 02:00:00,80.5,124.0,25.534290669607408,True,0.585,False,cooldown_period,80.5,84.45264945518288,42.032456828980955
22,106,2016-08-22 02:00:00,95.5,219.0,56.07881358706988,True,0.5505555555555556,False,cooldown_period,95.5,110.74783669820975,45.79534987116675
23,106,2016-08-23 02:00:00,104.16666666666667,375.0,108.04345833454651,True,0.5205555555555555,False,no_drift_consecutive_1/2,104.16666666666667,150.08025630752812,42.05964247122929
24,106,2016-08-24 02:00:00,138.5,322.0,97.4102150700839,True,0.485,False,no_drift_consecutive_2/2,138.5,169.32513103494117,56.19497260923498
25,106,2016-08-25 02:00:00,20.5,114.0,25.041632002194532,True,0.485,False,no_drift_consecutive_3/2,20.5,32.36252977338658,12.305183963541149
26,106,2016-08-26 02:00:00,9.708333333333334,31.0,9.13089611642192,True,0.485,False,no_drift_consecutive_4/2,9.708333333333334,13.32760293526184,6.922730297917289
