step,timestamp,drift_detected,drift_score,error,reason,total_retrains
8,2016-08-08 02:00:00,True,0.5341666666666667,70.56666666666666,drift_detected_consecutive_1_threshold_0.534,0
12,2016-08-12 02:00:00,True,0.5569444444444445,54.79166666666667,drift_detected_consecutive_1_threshold_0.557,1
16,2016-08-16 02:00:00,True,0.59,59.85833333333333,drift_detected_consecutive_1_threshold_0.590,2
20,2016-08-20 02:00:00,True,0.66,65.34166666666667,drift_detected_consecutive_1_threshold_0.660,3
31,2016-08-31 02:00:00,True,0.5141666666666667,29.55833333333333,drift_detected_consecutive_1_threshold_0.514,4
35,2016-09-04 02:00:00,True,0.5569444444444445,32.6,drift_detected_consecutive_1_threshold_0.557,5
39,2016-09-08 02:00:00,True,0.5405555555555556,30.53333333333333,drift_detected_consecutive_1_threshold_0.541,6
43,2016-09-12 02:00:00,True,0.66,56.75833333333334,drift_detected_consecutive_1_threshold_0.660,7
47,2016-09-16 02:00:00,True,0.68,44.983333333333334,drift_detected_consecutive_1_threshold_0.680,8
51,2016-09-20 02:00:00,True,0.7,46.78333333333333,drift_detected_consecutive_1_threshold_0.700,9
55,2016-09-24 02:00:00,True,0.5569444444444445,25.6,drift_detected_consecutive_1_threshold_0.557,10
59,2016-09-28 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,11
63,2016-10-02 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,12
67,2016-10-06 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,13
71,2016-10-10 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,14
75,2016-10-14 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,15
79,2016-10-18 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,16
83,2016-10-22 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,17
87,2016-10-26 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,18
91,2016-10-30 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,19
95,2016-11-03 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,20
99,2016-11-07 02:00:00,True,0.5405555555555556,8.625,drift_detected_consecutive_1_threshold_0.541,21
103,2016-11-11 02:00:00,True,0.5405555555555556,60.19166666666668,drift_detected_consecutive_1_threshold_0.541,22
107,2016-11-15 02:00:00,True,0.5555555555555556,41.925,drift_detected_consecutive_1_threshold_0.556,23
111,2016-11-19 02:00:00,True,0.5555555555555556,46.11666666666667,drift_detected_consecutive_1_threshold_0.556,24
115,2016-11-23 02:00:00,True,0.5541666666666667,72.41666666666667,drift_detected_consecutive_1_threshold_0.554,25
