step,timestamp,drift_detected,drift_score,error,reason,total_retrains
7,2016-08-07 02:00:00,True,0.515,76.33333333333334,drift_detected_consecutive_1_threshold_0.515,0
11,2016-08-11 02:00:00,True,0.58,54.1,drift_detected_consecutive_1_threshold_0.580,1
15,2016-08-15 02:00:00,True,0.5541666666666667,53.80833333333334,drift_detected_consecutive_1_threshold_0.554,2
19,2016-08-19 02:00:00,True,0.5541666666666667,45.56666666666667,drift_detected_consecutive_1_threshold_0.554,3
23,2016-08-23 02:00:00,True,0.605,70.29999999999998,drift_detected_consecutive_1_threshold_0.605,4
27,2016-08-27 02:00:00,True,0.685,76.14166666666667,drift_detected_consecutive_1_threshold_0.685,5
31,2016-08-31 02:00:00,True,0.5491666666666667,65.56666666666666,drift_detected_consecutive_1_threshold_0.549,6
35,2016-09-04 02:00:00,True,0.5555555555555556,57.99166666666666,drift_detected_consecutive_1_threshold_0.556,7
39,2016-09-08 02:00:00,True,0.5491666666666667,49.083333333333336,drift_detected_consecutive_1_threshold_0.549,8
43,2016-09-12 02:00:00,True,0.61,43.233333333333334,drift_detected_consecutive_1_threshold_0.610,9
47,2016-09-16 02:00:00,True,0.81,56.88333333333334,drift_detected_consecutive_1_threshold_0.810,10
51,2016-09-20 02:00:00,True,0.895,61.53333333333334,drift_detected_consecutive_1_threshold_0.895,11
55,2016-09-24 02:00:00,True,0.5569444444444445,25.433333333333334,drift_detected_consecutive_1_threshold_0.557,12
59,2016-09-28 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,13
63,2016-10-02 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,14
67,2016-10-06 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,15
71,2016-10-10 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,16
75,2016-10-14 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,17
79,2016-10-18 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,18
83,2016-10-22 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,19
87,2016-10-26 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,20
91,2016-10-30 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,21
95,2016-11-03 02:00:00,True,0.5569444444444445,0.0,drift_detected_consecutive_1_threshold_0.557,22
99,2016-11-07 02:00:00,True,0.5405555555555556,8.625,drift_detected_consecutive_1_threshold_0.541,23
103,2016-11-11 02:00:00,True,0.5216666666666666,86.9,drift_detected_consecutive_1_threshold_0.522,24
107,2016-11-15 02:00:00,True,0.5266666666666666,61.91666666666667,drift_detected_consecutive_1_threshold_0.527,25
111,2016-11-19 02:00:00,True,0.61,58.425,drift_detected_consecutive_1_threshold_0.610,26
115,2016-11-23 02:00:00,True,0.5541666666666667,72.87500000000001,drift_detected_consecutive_1_threshold_0.554,27
119,2016-11-27 02:00:00,True,0.5541666666666667,64.11666666666666,drift_detected_consecutive_1_threshold_0.554,28
123,2016-12-01 02:00:00,True,0.5569444444444445,41.225,drift_detected_consecutive_1_threshold_0.557,29
127,2016-12-05 02:00:00,True,0.5519444444444445,38.8,drift_detected_consecutive_1_threshold_0.552,30
161,2017-01-08 02:00:00,True,0.525,238.71666666666664,drift_detected_consecutive_1_threshold_0.525,31
896,2019-01-13 02:00:00,True,0.5005555555555555,148.35833333333335,drift_detected_consecutive_1_threshold_0.501,32
3202,2016-08-04 02:00:00,True,0.6,3651.0625,drift_detected_consecutive_1_threshold_0.600,33
3206,2016-08-08 02:00:00,True,0.52,1647.6583333333335,drift_detected_consecutive_1_threshold_0.520,34
3212,2016-08-14 02:00:00,True,0.51,242.53333333333336,drift_detected_consecutive_1_threshold_0.510,35
3268,2016-10-09 02:00:00,True,0.535,338.775,drift_detected_consecutive_1_threshold_0.535,36
3272,2016-10-13 02:00:00,True,0.56,243.41666666666669,drift_detected_consecutive_1_threshold_0.560,37
3405,2017-02-23 02:00:00,True,0.5255555555555556,835.1083333333333,drift_detected_consecutive_1_threshold_0.526,38
3412,2017-03-02 02:00:00,True,0.515,207.31666666666666,drift_detected_consecutive_1_threshold_0.515,39
3416,2017-03-06 02:00:00,True,0.535,205.31666666666666,drift_detected_consecutive_1_threshold_0.535,40
3422,2017-03-12 02:00:00,True,0.525,152.68333333333334,drift_detected_consecutive_1_threshold_0.525,41
3428,2017-03-18 02:00:00,True,0.505,168.425,drift_detected_consecutive_1_threshold_0.505,42
3432,2017-03-22 02:00:00,True,0.52,349.30833333333334,drift_detected_consecutive_1_threshold_0.520,43
3436,2017-03-26 02:00:00,True,0.54,307.85,drift_detected_consecutive_1_threshold_0.540,44
3440,2017-03-30 02:00:00,True,0.615,242.08333333333331,drift_detected_consecutive_1_threshold_0.615,45
3444,2017-04-03 02:00:00,True,0.67,226.375,drift_detected_consecutive_1_threshold_0.670,46
3459,2017-04-18 02:00:00,True,0.57,176.93333333333334,drift_detected_consecutive_1_threshold_0.570,47
3463,2017-04-22 02:00:00,True,0.58,172.62499999999997,drift_detected_consecutive_1_threshold_0.580,48
3472,2017-05-01 02:00:00,True,0.505,278.1,drift_detected_consecutive_1_threshold_0.505,49
3485,2017-05-14 02:00:00,True,0.55,215.9916666666667,drift_detected_consecutive_1_threshold_0.550,50
3499,2017-05-28 02:00:00,True,0.525,160.425,drift_detected_consecutive_1_threshold_0.525,51
3504,2017-06-02 02:00:00,True,0.505,155.425,drift_detected_consecutive_1_threshold_0.505,52
3508,2017-06-06 02:00:00,True,0.565,207.775,drift_detected_consecutive_1_threshold_0.565,53
3674,2017-11-19 02:00:00,True,0.54,233.525,drift_detected_consecutive_1_threshold_0.540,54
3723,2018-01-07 02:00:00,True,0.5041666666666667,1064.8083333333332,drift_detected_consecutive_1_threshold_0.504,55
3728,2018-01-12 02:00:00,True,0.525,414.45833333333337,drift_detected_consecutive_1_threshold_0.525,56
3732,2018-01-16 02:00:00,True,0.825,240.1083333333333,drift_detected_consecutive_1_threshold_0.825,57
