step,entity_id,timestamp,mean_error,max_error,std_error,drift_detected,drift_score,retrained,retrain_reason,mae,rmse,smape
0,106,2016-07-31 02:00:00,88.87978894615803,254.93716503227313,65.42831794159979,True,0.1761111111111111,False,cooldown_period,88.87978894615803,110.36521948413217,38.731334371149906
1,106,2016-08-01 02:00:00,95.94008815715752,288.8910897629464,71.67943458466195,True,0.2011111111111111,False,cooldown_period,95.94008815715752,119.75993427678553,31.997111752986378
2,106,2016-08-02 02:00:00,112.7068495914749,304.53193042066425,76.96940949656432,True,0.22305555555555556,False,no_drift_consecutive_1/2,112.7068495914749,136.4812219431126,35.85127659301011
3,106,2016-08-03 02:00:00,113.00699658484056,323.1395279038637,80.19918868271718,True,0.2411111111111111,False,no_drift_consecutive_2/2,113.00699658484056,138.57305345012875,33.4623800146374
4,106,2016-08-04 02:00:00,131.64901554572512,355.67624461121517,101.04290418784062,True,0.32611111111111113,False,no_drift_consecutive_3/2,131.64901554572512,165.9552101648867,45.65577160149914
5,106,2016-08-05 02:00:00,137.8025845379144,335.02885104253124,90.1089931502278,True,0.43583333333333335,False,no_drift_consecutive_4/2,137.8025845379144,164.64866519919576,58.94171857627487
6,106,2016-08-06 02:00:00,105.13161417240701,256.122488401447,67.36440977240161,True,0.485,False,no_drift_consecutive_5/2,105.13161417240701,124.86240427959044,52.2913158199182
7,106,2016-08-07 02:00:00,108.00246003233912,279.5797838739343,66.381692917128,True,0.545,True,drift_detected_consecutive_1_threshold_0.545,108.00246003233912,126.77168661645585,54.137230936617144
8,106,2016-08-08 02:00:00,54.53277879308333,186.0507123533322,49.46335434326772,True,0.585,False,cooldown_period,54.53277879308333,73.62368766764551,26.081891276231524
9,106,2016-08-09 02:00:00,47.52051213576316,193.80667949006408,44.3359512541951,True,0.64,False,cooldown_period,47.52051213576316,64.99135055728244,21.190269031163584
10,106,2016-08-10 02:00:00,53.013035667389175,212.98329170833262,48.43627577420373,True,0.68,False,no_drift_consecutive_1/2,53.013035667389175,71.8084588439732,21.417587986119937
11,106,2016-08-11 02:00:00,49.10530956978113,141.0247457923794,37.21928224082081,True,0.705,True,drift_detected_consecutive_1_threshold_0.705,49.10530956978113,61.61660813827646,22.278655162401726
12,106,2016-08-12 02:00:00,26.474389243442914,90.03287712756315,25.35025213871066,True,0.665,False,cooldown_period,26.474389243442914,36.65417533255291,10.828382708674578
13,106,2016-08-13 02:00:00,50.29690880144449,111.87249242635625,28.803416364935856,True,0.57,False,cooldown_period,50.29690880144449,57.96046781447402,22.798001559655916
14,106,2016-08-14 02:00:00,44.08283434288622,147.21796486361728,29.543916994125965,True,0.5555555555555556,False,no_drift_consecutive_1/2,44.08283434288622,53.06730928790486,19.251901267734876
15,106,2016-08-15 02:00:00,44.53378513592796,116.95373314477223,25.22077850980803,True,0.5569444444444445,True,drift_detected_consecutive_1_threshold_0.557,44.53378513592796,51.179543639757014,21.0272099041372
16,106,2016-08-16 02:00:00,37.411107551179875,96.18296745065743,25.19334646071231,True,0.575,False,cooldown_period,37.411107551179875,45.103167007378026,16.469202153462092
17,106,2016-08-17 02:00:00,32.5773917506851,103.15196572857405,24.301579643545313,True,0.59,False,cooldown_period,32.5773917506851,40.642997262126,13.975861353275237
18,106,2016-08-18 02:00:00,42.398613349189446,147.71166558446282,32.205799120415925,True,0.565,False,no_drift_consecutive_1/2,42.398613349189446,53.24336494736831,17.798980953158075
19,106,2016-08-19 02:00:00,44.11788500148874,112.80650875357418,29.832220606690292,True,0.565,True,drift_detected_consecutive_1_threshold_0.565,44.11788500148874,53.25738599791415,26.006845699520436
20,106,2016-08-20 02:00:00,37.709967099352305,117.31639766284218,27.60259834319232,True,0.5569444444444445,False,cooldown_period,37.709967099352305,46.732697909812956,16.024715751589216
21,106,2016-08-21 02:00:00,36.180557666468424,105.80411133031959,23.596823388468117,True,0.58,False,cooldown_period,36.180557666468424,43.19540284663639,16.088462353449113
22,106,2016-08-22 02:00:00,29.251489942811784,92.14347997100168,22.423538723543622,True,0.595,False,no_drift_consecutive_1/2,29.251489942811784,36.85735683361843,12.911194455321295
23,106,2016-08-23 02:00:00,46.32701970869246,120.55935500834687,25.22565413021801,True,0.62,True,drift_detected_consecutive_1_threshold_0.620,46.32701970869246,52.74965764236735,19.964157793223603
24,106,2016-08-24 02:00:00,65.06841804029442,181.8342859856075,51.293128330358414,True,0.58,False,cooldown_period,65.06841804029442,82.85459576982517,22.34896098951751
25,106,2016-08-25 02:00:00,46.25929744568615,104.568081246095,28.875299877606743,True,0.565,False,cooldown_period,46.25929744568615,54.53169301599008,25.991580618792113
26,106,2016-08-26 02:00:00,33.84972883100287,69.7954103718869,16.871748741632565,True,0.585,False,no_drift_consecutive_1/2,33.84972883100287,37.82142312940124,22.250056597360803
27,106,2016-08-27 02:00:00,43.95771252003606,115.6368287418992,28.026372679304888,True,0.59,True,drift_detected_consecutive_1_threshold_0.590,43.95771252003606,52.1321211495698,24.842571535102074
28,106,2016-08-28 02:00:00,32.936789036761006,88.35754756137723,27.588073542852655,True,0.595,False,cooldown_period,32.936789036761006,42.964332577824905,18.418299817893093
29,106,2016-08-29 02:00:00,37.728661913391775,119.65761948922005,31.12219943276168,True,0.635,False,cooldown_period,37.728661913391775,48.90851896456905,21.4641288474354
30,106,2016-08-30 02:00:00,27.863743825571294,104.17237023962264,21.221921842145484,True,0.69,False,no_drift_consecutive_1/2,27.863743825571294,35.02510794631752,14.323121017519211
31,106,2016-08-31 02:00:00,27.230006923595102,101.67221796887358,24.905225114991325,True,0.73,True,drift_detected_consecutive_1_threshold_0.730,27.230006923595102,36.90180910317856,13.426183640768993
32,106,2016-09-01 02:00:00,45.40677242882509,134.77774862810577,29.0156991628796,True,0.78,False,cooldown_period,45.40677242882509,53.88585881577692,24.239606784061976
33,106,2016-09-02 02:00:00,48.94195624583835,97.4662241434443,27.17846613417784,True,0.825,False,cooldown_period,48.94195624583835,55.98199802236614,29.893220171960124
34,106,2016-09-03 02:00:00,54.37711910148945,133.91007668623098,31.73087447428723,True,0.86,False,no_drift_consecutive_1/2,54.37711910148945,62.95807713614308,29.847205982438556
35,106,2016-09-04 02:00:00,52.100891803109796,131.3270174797401,33.590361030586116,True,0.865,True,drift_detected_consecutive_1_threshold_0.865,52.100891803109796,61.99044507699934,29.41079751303592
36,106,2016-09-05 02:00:00,60.39077768857089,173.43159281916644,44.349150946573545,True,0.865,False,cooldown_period,60.39077768857089,74.92591820933767,28.070640684182006
37,106,2016-09-06 02:00:00,56.50498216798311,113.35824856018291,31.626361819033352,True,0.89,False,cooldown_period,56.50498216798311,64.75368539096829,29.465219830364468
38,106,2016-09-07 02:00:00,59.542621796732725,107.77990544330385,27.19624990771785,True,0.925,False,no_drift_consecutive_1/2,59.542621796732725,65.45960448606296,32.67498166881153
39,106,2016-09-08 02:00:00,66.02051922136444,120.42985880641686,22.85645489140994,True,0.94,True,drift_detected_consecutive_1_threshold_0.940,66.02051922136444,69.86505913875409,38.784002340047145
