step,timestamp,drift_detected,drift_score,error,reason,total_retrains
0,2016-07-31 02:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,0
10,2016-08-10 02:00:00,False,0.0,2174.2693731334734,fixed_schedule_every_10_steps,1
20,2016-08-20 02:00:00,False,0.0,1615.418897320497,fixed_schedule_every_10_steps,2
30,2016-08-30 02:00:00,False,0.0,1570.3524325093756,fixed_schedule_every_10_steps,3
40,2016-09-09 02:00:00,False,0.0,266.5261385890905,fixed_schedule_every_10_steps,4
50,2016-09-19 02:00:00,False,0.0,269.7601869240382,fixed_schedule_every_10_steps,5
60,2016-09-29 02:00:00,False,0.0,194.27544663769666,fixed_schedule_every_10_steps,6
70,2016-10-09 02:00:00,False,0.0,131.8785738854324,fixed_schedule_every_10_steps,7
80,2016-10-19 02:00:00,False,0.0,0.3236811031671165,fixed_schedule_every_10_steps,8
90,2016-10-29 02:00:00,False,0.0,0.0002227152387301127,fixed_schedule_every_10_steps,9
100,2016-11-08 02:00:00,False,0.0,32.93358020664503,fixed_schedule_every_10_steps,10
110,2016-11-18 02:00:00,False,0.0,50.78809804087523,fixed_schedule_every_10_steps,11
120,2016-11-28 02:00:00,False,0.0,152.93344921562777,fixed_schedule_every_10_steps,12
130,2016-12-08 02:00:00,False,0.0,123.27386846853214,fixed_schedule_every_10_steps,13
140,2016-12-18 02:00:00,False,0.0,177.36838905017393,fixed_schedule_every_10_steps,14
150,2016-12-28 02:00:00,False,0.0,422.13204125690237,fixed_schedule_every_10_steps,15
160,2017-01-07 02:00:00,False,0.0,658.0225493290698,fixed_schedule_every_10_steps,16
170,2017-01-17 02:00:00,False,0.0,656.5282671865042,fixed_schedule_every_10_steps,17
180,2017-01-27 02:00:00,False,0.0,480.9275139230341,fixed_schedule_every_10_steps,18
190,2017-02-06 02:00:00,False,0.0,206.6302686074874,fixed_schedule_every_10_steps,19
200,2017-02-16 02:00:00,False,0.0,129.56660750654459,fixed_schedule_every_10_steps,20
