step,entity_id,timestamp,mean_error,max_error,std_error,drift_detected,drift_score,retrained,retrain_reason,mae,rmse,smape
0,106,2016-07-31 02:00:00,2061.3310381688448,2131.2544547384873,46.310920798234285,False,0.2290682548396005,True,fixed_schedule_every_10_steps,2061.3310381688448,2061.8511949952717,160.91895399675948
1,106,2016-08-01 02:00:00,1985.379350509146,2085.5190164030587,72.87688310718266,False,0.33764840323175993,False,not_scheduled,1985.379350509146,1986.716438125868,154.3840136075697
2,106,2016-08-02 02:00:00,1999.133088388311,2132.431217205351,101.57714479839986,False,0.47695573139693687,False,not_scheduled,1999.133088388311,2001.7120226032469,155.55796021796772
3,106,2016-08-03 02:00:00,1968.9735535512498,2093.8890070895945,79.73264406772566,True,0.5613911585907283,False,not_scheduled,1968.9735535512498,1970.5872599593924,152.5001904880357
4,106,2016-08-04 02:00:00,2071.5445896215692,2218.5941923367373,84.12797005562491,True,1.2840293047388018,False,not_scheduled,2071.5445896215692,2073.252155946323,163.2902659166702
5,106,2016-08-05 02:00:00,2186.976329166566,2338.5147533042773,82.14411530220734,True,2.5237648043422105,False,not_scheduled,2186.976329166566,2188.518476050328,173.42156144209645
6,106,2016-08-06 02:00:00,2168.3434314013116,2294.129616131181,70.02310872513581,True,1.736553295392283,False,not_scheduled,2168.3434314013116,2169.473777729693,168.3183740535153
7,106,2016-08-07 02:00:00,2206.583016503493,2332.8816453143354,63.38978703850047,True,0.6634832285072798,False,not_scheduled,2206.583016503493,2207.4933462691206,170.01302689049342
8,106,2016-08-08 02:00:00,2166.694412916155,2288.9072417659713,61.18987544133296,False,0.1825340434236621,False,not_scheduled,2166.694412916155,2167.558275991353,167.79497712024101
9,106,2016-08-09 02:00:00,2142.7496756798414,2266.4779644353684,58.51008295328709,False,0.4954119371073666,False,not_scheduled,2142.7496756798414,2143.548367178419,166.78169666393836
10,106,2016-08-10 02:00:00,1614.6071691378804,1724.0744838999062,62.638879563292974,True,1.3308890762673957,True,fixed_schedule_every_10_steps,1614.6071691378804,1615.8217537415396,157.3070104340594
11,106,2016-08-11 02:00:00,1625.3087590282394,1720.5562973966853,54.507876905748915,True,3.5239327742794067,False,not_scheduled,1625.3087590282394,1626.2225157765733,159.23481137948778
12,106,2016-08-12 02:00:00,1565.9794768070644,1674.4584303585457,46.30205575717548,True,0.9912274990698147,False,not_scheduled,1565.9794768070644,1566.6638446547072,149.5997083089721
13,106,2016-08-13 02:00:00,1582.2811909188638,1682.8693602021958,37.24591448569697,False,0.0,False,not_scheduled,1582.2811909188638,1582.7195030331477,152.2745878251812
14,106,2016-08-14 02:00:00,1588.7923951420541,1709.2609836869651,57.55587426946216,False,0.1968490373784646,False,not_scheduled,1588.7923951420541,1589.8345679737083,153.3559662873569
15,106,2016-08-15 02:00:00,1602.399963122877,1719.8483550108526,63.91821525073991,True,0.5540004029978652,False,not_scheduled,1602.399963122877,1603.674274925253,155.57625061539568
16,106,2016-08-16 02:00:00,1605.4863304620742,1722.0736839672722,57.16837848609267,False,0.13059227714866853,False,not_scheduled,1605.4863304620742,1606.5038377792023,156.06350099683794
17,106,2016-08-17 02:00:00,1590.9428258854784,1731.5315687994957,57.06424684953224,False,0.10416342580658107,False,not_scheduled,1590.9428258854784,1591.9658926952475,153.63257896846437
18,106,2016-08-18 02:00:00,1589.321378207489,1699.395379063757,68.52910608681819,False,0.287022337911282,False,not_scheduled,1589.321378207489,1590.7981272331226,153.62315095002626
19,106,2016-08-19 02:00:00,1688.9439889245668,1716.3434622657492,24.54787063310957,False,0.37914497133227004,False,not_scheduled,1688.9439889245668,1689.1223743935923,169.62563119758275
20,106,2016-08-20 02:00:00,1498.6870351535274,1624.2679073702704,85.22032350543151,False,0.2498959932145196,True,fixed_schedule_every_10_steps,1498.6870351535274,1501.1080350446603,152.1617363644425
21,106,2016-08-21 02:00:00,1485.586923052814,1533.8314391286576,31.709962732278033,False,0.3963398209820931,False,not_scheduled,1485.586923052814,1485.9253102636114,153.0184108403538
22,106,2016-08-22 02:00:00,1471.7505887892582,1610.0321106550527,57.17928815989067,True,0.6525805234558439,False,not_scheduled,1471.7505887892582,1472.8609121692382,150.87160664232354
23,106,2016-08-23 02:00:00,1468.4054635253362,1606.3421956849024,106.831480481224,True,1.1236630483915722,False,not_scheduled,1468.4054635253362,1472.2865110204834,150.3604073457409
24,106,2016-08-24 02:00:00,1427.456105075001,1574.8304845985315,86.69416232071386,False,0.4650671805428837,False,not_scheduled,1427.456105075001,1430.0862944928822,143.6203179883862
25,106,2016-08-25 02:00:00,1570.2433173351455,1624.3384181899414,51.1573230393009,False,0.13773328495244694,False,not_scheduled,1570.2433173351455,1571.0764295018337,166.46047713831427
26,106,2016-08-26 02:00:00,1591.9347358535313,1640.053354257411,38.81302278303271,True,0.6211584177992376,False,not_scheduled,1591.9347358535313,1592.4078164699547,169.77852359484012
27,106,2016-08-27 02:00:00,1575.0719202529715,1631.221451873126,34.239822138202456,True,1.1254804228964024,False,not_scheduled,1575.0719202529715,1575.4440387996772,167.050626273867
28,106,2016-08-28 02:00:00,1551.450461102818,1652.7412816355752,43.59191998092676,True,0.6091659656339892,False,not_scheduled,1551.450461102818,1552.062752836937,163.39539645666346
29,106,2016-08-29 02:00:00,1563.0617280024114,1629.5289810907805,45.332486730426226,False,0.07417758681554465,False,not_scheduled,1563.0617280024114,1563.7189644878802,165.13301794324562
30,106,2016-08-30 02:00:00,232.30804354628333,306.10807382047,59.403459751532544,True,1.587132935770153,True,fixed_schedule_every_10_steps,232.30804354628333,239.78281449418725,75.540008173297
31,106,2016-08-31 02:00:00,238.08613838689257,294.5290391422795,28.85984528908374,True,1.5118190491890489,False,not_scheduled,238.08613838689257,239.82889726238665,76.46932460110158
32,106,2016-09-01 02:00:00,265.50234764297153,317.4270286200608,35.7568863401616,False,0.0,False,not_scheduled,265.50234764297153,267.8993309522675,89.2254657850435
33,106,2016-09-02 02:00:00,299.16714576146063,318.3215645938794,11.16263023296336,True,1.0381197215213698,False,not_scheduled,299.16714576146063,299.3753253305571,105.07706314955753
34,106,2016-09-03 02:00:00,280.35715622686246,306.24221738365975,21.82088055548919,False,0.3557520033175558,False,not_scheduled,280.35715622686246,281.2050601888776,95.864429385301
35,106,2016-09-04 02:00:00,283.7556878221363,315.96603884009653,20.661309818376647,False,0.017326592413743503,False,not_scheduled,283.7556878221363,284.5069069369399,97.53067858364795
36,106,2016-09-05 02:00:00,224.96184218648855,305.88628596298076,76.17314707295567,False,0.47225802713929277,False,not_scheduled,224.96184218648855,237.5082709611114,73.58618889215053
37,106,2016-09-06 02:00:00,261.0281834574284,306.18304740642463,33.781534523036086,True,0.6001610392609272,False,not_scheduled,261.0281834574284,263.2050619456548,87.05332745254883
38,106,2016-09-07 02:00:00,274.75931299172265,317.2166320054141,29.397077558454672,False,0.3279618780836346,False,not_scheduled,274.75931299172265,276.3274655995332,93.3668045586875
39,106,2016-09-08 02:00:00,288.12566648767665,360.666639999474,34.404664914156214,False,0.4922766875957292,False,not_scheduled,288.12566648767665,290.1725015517894,100.24767186019896
40,106,2016-09-09 02:00:00,290.0519103209296,320.0647486997996,25.03696165292662,True,0.6440126863022105,True,fixed_schedule_every_10_steps,290.0519103209296,291.13048643113746,127.57679741588571
41,106,2016-09-10 02:00:00,222.93047967930343,246.15316008002276,20.580491647923193,True,0.6775004272716751,False,not_scheduled,222.93047967930343,223.87843890494358,85.76579042963357
42,106,2016-09-11 02:00:00,269.6696667220136,320.2344981733694,41.176845284263,False,0.15969942006191382,False,not_scheduled,269.6696667220136,272.79527440468246,115.3344747067046
43,106,2016-09-12 02:00:00,311.2313481744789,320.26586301835914,4.486622796014567,True,0.876274106331598,False,not_scheduled,311.2313481744789,311.26368543506237,142.56191467735047
