step,timestamp,drift_detected,drift_score,error,reason,total_retrains
0,2016-07-31 02:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,0
10,2016-08-10 02:00:00,False,0.0,61.00833333333334,fixed_schedule_every_10_steps,1
20,2016-08-20 02:00:00,False,0.0,58.641666666666666,fixed_schedule_every_10_steps,2
30,2016-08-30 02:00:00,False,0.0,22.05,fixed_schedule_every_10_steps,3
40,2016-09-09 02:00:00,False,0.0,32.891666666666666,fixed_schedule_every_10_steps,4
50,2016-09-19 02:00:00,False,0.0,54.56666666666668,fixed_schedule_every_10_steps,5
60,2016-09-29 02:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,6
70,2016-10-09 02:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,7
80,2016-10-19 02:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,8
90,2016-10-29 02:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,9
100,2016-11-08 02:00:00,False,0.0,32.93333333333334,fixed_schedule_every_10_steps,10
110,2016-11-18 02:00:00,False,0.0,45.266666666666666,fixed_schedule_every_10_steps,11
120,2016-11-28 02:00:00,False,0.0,58.466666666666676,fixed_schedule_every_10_steps,12
130,2016-12-08 02:00:00,False,0.0,136.74166666666665,fixed_schedule_every_10_steps,13
140,2016-12-18 02:00:00,False,0.0,153.14166666666668,fixed_schedule_every_10_steps,14
150,2016-12-28 02:00:00,False,0.0,274.8833333333333,fixed_schedule_every_10_steps,15
160,2017-01-07 02:00:00,False,0.0,249.20833333333331,fixed_schedule_every_10_steps,16
170,2017-01-17 02:00:00,False,0.0,231.9916666666667,fixed_schedule_every_10_steps,17
180,2017-01-27 02:00:00,False,0.0,152.49166666666667,fixed_schedule_every_10_steps,18
190,2017-02-06 02:00:00,False,0.0,246.6,fixed_schedule_every_10_steps,19
200,2017-02-16 02:00:00,False,0.0,159.9,fixed_schedule_every_10_steps,20
210,2017-02-26 02:00:00,False,0.0,222.8416666666667,fixed_schedule_every_10_steps,21
220,2017-03-08 02:00:00,False,0.0,162.70833333333331,fixed_schedule_every_10_steps,22
230,2017-03-18 02:00:00,False,0.0,204.76666666666665,fixed_schedule_every_10_steps,23
240,2017-03-28 02:00:00,False,0.0,270.44166666666666,fixed_schedule_every_10_steps,24
250,2017-04-07 02:00:00,False,0.0,201.025,fixed_schedule_every_10_steps,25
260,2017-04-17 02:00:00,False,0.0,242.825,fixed_schedule_every_10_steps,26
270,2017-04-27 02:00:00,False,0.0,112.36666666666667,fixed_schedule_every_10_steps,27
280,2017-05-07 02:00:00,False,0.0,295.5166666666667,fixed_schedule_every_10_steps,28
290,2017-05-17 02:00:00,False,0.0,215.71666666666664,fixed_schedule_every_10_steps,29
300,2017-05-27 02:00:00,False,0.0,103.81666666666668,fixed_schedule_every_10_steps,30
310,2017-06-06 02:00:00,False,0.0,335.45,fixed_schedule_every_10_steps,31
320,2017-06-16 02:00:00,False,0.0,161.25,fixed_schedule_every_10_steps,32
330,2017-06-26 02:00:00,False,0.0,156.2,fixed_schedule_every_10_steps,33
340,2017-07-06 02:00:00,False,0.0,256.4833333333333,fixed_schedule_every_10_steps,34
350,2017-07-16 02:00:00,False,0.0,241.85,fixed_schedule_every_10_steps,35
360,2017-07-26 02:00:00,False,0.0,249.65,fixed_schedule_every_10_steps,36
370,2017-08-05 02:00:00,False,0.0,266.7,fixed_schedule_every_10_steps,37
380,2017-08-15 02:00:00,False,0.0,405.5,fixed_schedule_every_10_steps,38
390,2017-08-25 02:00:00,False,0.0,162.125,fixed_schedule_every_10_steps,39
400,2017-09-04 02:00:00,False,0.0,420.6666666666667,fixed_schedule_every_10_steps,40
410,2017-09-14 02:00:00,False,0.0,138.35833333333332,fixed_schedule_every_10_steps,41
420,2017-09-24 02:00:00,False,0.0,349.1583333333333,fixed_schedule_every_10_steps,42
430,2017-10-04 02:00:00,False,0.0,576.0166666666667,fixed_schedule_every_10_steps,43
440,2017-10-14 02:00:00,False,0.0,288.30833333333334,fixed_schedule_every_10_steps,44
450,2017-10-24 02:00:00,False,0.0,483.1833333333334,fixed_schedule_every_10_steps,45
460,2017-11-03 02:00:00,False,0.0,228.04166666666666,fixed_schedule_every_10_steps,46
470,2017-11-13 02:00:00,False,0.0,214.225,fixed_schedule_every_10_steps,47
480,2017-11-23 02:00:00,False,0.0,133.44166666666666,fixed_schedule_every_10_steps,48
490,2017-12-03 02:00:00,False,0.0,207.39166666666665,fixed_schedule_every_10_steps,49
500,2017-12-13 02:00:00,False,0.0,304.9166666666667,fixed_schedule_every_10_steps,50
510,2017-12-23 02:00:00,False,0.0,213.575,fixed_schedule_every_10_steps,51
520,2018-01-02 02:00:00,False,0.0,278.9333333333333,fixed_schedule_every_10_steps,52
530,2018-01-12 02:00:00,False,0.0,129.15833333333333,fixed_schedule_every_10_steps,53
540,2018-01-22 02:00:00,False,0.0,191.32500000000002,fixed_schedule_every_10_steps,54
550,2018-02-01 02:00:00,False,0.0,111.33333333333334,fixed_schedule_every_10_steps,55
560,2018-02-11 02:00:00,False,0.0,190.74999999999997,fixed_schedule_every_10_steps,56
570,2018-02-21 02:00:00,False,0.0,183.325,fixed_schedule_every_10_steps,57
580,2018-03-03 02:00:00,False,0.0,178.05,fixed_schedule_every_10_steps,58
590,2018-03-13 02:00:00,False,0.0,290.41666666666663,fixed_schedule_every_10_steps,59
600,2018-03-23 02:00:00,False,0.0,123.11666666666667,fixed_schedule_every_10_steps,60
610,2018-04-02 02:00:00,False,0.0,207.525,fixed_schedule_every_10_steps,61
620,2018-04-12 02:00:00,False,0.0,118.06666666666668,fixed_schedule_every_10_steps,62
630,2018-04-22 02:00:00,False,0.0,191.65000000000003,fixed_schedule_every_10_steps,63
