step,timestamp,drift_detected,drift_score,error,reason,total_retrains
4,2012-11-01 11:00:00,True,0.5622222222222222,2552.2721081588743,drift_detected_consecutive_1_threshold_0.562,0
8,2012-11-05 10:00:00,True,0.9572222222222222,2851.6375023464034,drift_detected_consecutive_1_threshold_0.957,1
12,2012-11-08 10:00:00,True,0.9483333333333334,2787.0312151177923,drift_detected_consecutive_1_threshold_0.948,2
16,2012-11-11 10:00:00,True,0.9533333333333334,3174.2458603158548,drift_detected_consecutive_1_threshold_0.953,3
20,2012-11-15 03:00:00,True,0.945,3170.760811345827,drift_detected_consecutive_1_threshold_0.945,4
24,2012-11-19 05:00:00,True,0.93,2677.618311734698,drift_detected_consecutive_1_threshold_0.930,5
28,2012-11-22 22:00:00,True,0.975,3179.609867095047,drift_detected_consecutive_1_threshold_0.975,6
32,2012-11-26 16:00:00,True,0.9786111111111111,3745.669428613932,drift_detected_consecutive_1_threshold_0.979,7
36,2012-11-30 18:00:00,True,0.9486111111111111,2444.4899050925856,drift_detected_consecutive_1_threshold_0.949,8
40,2012-12-03 13:00:00,True,0.92,2420.032395699449,drift_detected_consecutive_1_threshold_0.920,9
44,2012-12-07 11:00:00,True,0.8536111111111111,2093.905664955884,drift_detected_consecutive_1_threshold_0.854,10
48,2012-12-10 12:00:00,True,0.8886111111111111,2933.33861273107,drift_detected_consecutive_1_threshold_0.889,11
52,2012-12-13 07:00:00,True,1.0,3640.791693332986,drift_detected_consecutive_1_threshold_1.000,12
56,2012-12-16 09:00:00,True,0.995,3834.696081935845,drift_detected_consecutive_1_threshold_0.995,13
60,2012-12-18 13:00:00,True,0.93,3128.0442663092217,drift_detected_consecutive_1_threshold_0.930,14
64,2012-12-21 02:00:00,True,0.8386111111111111,2083.8965302103034,drift_detected_consecutive_1_threshold_0.839,15
68,2012-12-24 16:00:00,True,0.8936111111111111,2619.6684305442354,drift_detected_consecutive_1_threshold_0.894,16
72,2012-12-28 15:00:00,True,0.975,2965.320148863672,drift_detected_consecutive_1_threshold_0.975,17
76,2012-12-31 09:00:00,True,0.995,3022.775495300593,drift_detected_consecutive_1_threshold_0.995,18
80,2013-01-03 20:00:00,True,1.0,2930.0161711277506,drift_detected_consecutive_1_threshold_1.000,19
84,2013-01-07 06:00:00,True,0.985,3109.5558580942316,drift_detected_consecutive_1_threshold_0.985,20
88,2013-01-11 21:00:00,True,0.965,2761.328364951788,drift_detected_consecutive_1_threshold_0.965,21
92,2013-01-14 14:00:00,True,0.965,3303.628622962252,drift_detected_consecutive_1_threshold_0.965,22
96,2013-01-18 14:00:00,True,0.9633333333333334,2747.856870833618,drift_detected_consecutive_1_threshold_0.963,23
100,2013-01-23 05:00:00,True,0.9738888888888889,3549.7890665003315,drift_detected_consecutive_1_threshold_0.974,24
104,2013-01-28 20:00:00,True,0.925,2879.752086912499,drift_detected_consecutive_1_threshold_0.925,25
108,2013-02-02 23:00:00,True,0.915,2665.1701463640843,drift_detected_consecutive_1_threshold_0.915,26
112,2013-02-07 11:00:00,True,0.9336111111111111,3016.9006936792575,drift_detected_consecutive_1_threshold_0.934,27
116,2013-02-11 08:00:00,True,0.9286111111111112,2838.44039698152,drift_detected_consecutive_1_threshold_0.929,28
120,2013-02-14 13:00:00,True,0.8886111111111111,2341.5800199665314,drift_detected_consecutive_1_threshold_0.889,29
124,2013-02-17 23:00:00,True,0.905,3179.622405535932,drift_detected_consecutive_1_threshold_0.905,30
128,2013-02-22 14:00:00,True,0.975,3265.7139224456705,drift_detected_consecutive_1_threshold_0.975,31
132,2013-02-25 11:00:00,True,0.97,3579.4838643553317,drift_detected_consecutive_1_threshold_0.970,32
136,2013-03-01 02:00:00,True,0.89,2665.858258373261,drift_detected_consecutive_1_threshold_0.890,33
140,2013-03-05 08:00:00,True,0.89,2724.5230422601035,drift_detected_consecutive_1_threshold_0.890,34
144,2013-03-09 11:00:00,True,0.995,3271.161406940316,drift_detected_consecutive_1_threshold_0.995,35
148,2013-03-13 10:00:00,True,0.945,3057.353379321231,drift_detected_consecutive_1_threshold_0.945,36
