step,timestamp,drift_detected,drift_score,error,reason,total_retrains
6,2012-11-03 11:00:00,True,0.5086111111111111,1292.7833333333333,drift_detected_consecutive_1_threshold_0.509,0
10,2012-11-07 02:00:00,True,0.6036111111111111,962.2333333333333,drift_detected_consecutive_1_threshold_0.604,1
14,2012-11-10 10:00:00,True,0.58,1965.375,drift_detected_consecutive_1_threshold_0.580,2
18,2012-11-13 04:00:00,True,0.5333333333333333,1661.6666666666667,drift_detected_consecutive_1_threshold_0.533,3
22,2012-11-17 04:00:00,True,0.58,1691.1333333333332,drift_detected_consecutive_1_threshold_0.580,4
26,2012-11-21 05:00:00,True,0.5858333333333333,1044.2666666666667,drift_detected_consecutive_1_threshold_0.586,5
30,2012-11-24 11:00:00,True,0.69,2247.9333333333334,drift_detected_consecutive_1_threshold_0.690,6
34,2012-11-28 16:00:00,True,0.51,2443.1,drift_detected_consecutive_1_threshold_0.510,7
38,2012-12-02 06:00:00,True,0.5075,1946.575,drift_detected_consecutive_1_threshold_0.507,8
42,2012-12-05 11:00:00,True,0.57,2899.5666666666666,drift_detected_consecutive_1_threshold_0.570,9
46,2012-12-09 10:00:00,True,0.6683333333333333,1505.825,drift_detected_consecutive_1_threshold_0.668,10
50,2012-12-11 13:00:00,True,0.6383333333333333,2336.675,drift_detected_consecutive_1_threshold_0.638,11
69,2012-12-25 15:00:00,True,0.5188888888888888,1333.3750000000002,drift_detected_consecutive_1_threshold_0.519,12
73,2012-12-29 03:00:00,True,0.5633333333333334,1406.725,drift_detected_consecutive_1_threshold_0.563,13
77,2013-01-01 09:00:00,True,0.5283333333333333,1490.4416666666666,drift_detected_consecutive_1_threshold_0.528,14
81,2013-01-04 08:00:00,True,0.5586111111111111,1591.825,drift_detected_consecutive_1_threshold_0.559,15
426,2013-12-25 05:00:00,True,0.5041666666666667,1391.0416666666665,drift_detected_consecutive_1_threshold_0.504,16
430,2013-12-28 10:00:00,True,0.5555555555555556,1854.5333333333333,drift_detected_consecutive_1_threshold_0.556,17
1020,2016-07-24 05:00:00,True,0.5172222222222222,2333.8083333333334,drift_detected_consecutive_1_threshold_0.517,18
