step,timestamp,drift_detected,drift_score,error,reason,total_retrains
6,2012-11-03 11:00:00,True,0.5966666666666667,554.4809766425816,drift_detected_consecutive_1_threshold_0.597,0
10,2012-11-07 02:00:00,True,0.6888888888888889,468.166303835108,drift_detected_consecutive_1_threshold_0.689,1
14,2012-11-10 10:00:00,True,0.6713888888888889,904.2441973041228,drift_detected_consecutive_1_threshold_0.671,2
18,2012-11-13 04:00:00,True,0.6763888888888889,785.8550184363523,drift_detected_consecutive_1_threshold_0.676,3
22,2012-11-17 04:00:00,True,0.7108333333333333,739.2618139009525,drift_detected_consecutive_1_threshold_0.711,4
26,2012-11-21 05:00:00,True,0.7219444444444445,468.0529343698473,drift_detected_consecutive_1_threshold_0.722,5
30,2012-11-24 11:00:00,True,0.765,1121.8002722535916,drift_detected_consecutive_1_threshold_0.765,6
34,2012-11-28 16:00:00,True,0.6269444444444444,1091.7504579080507,drift_detected_consecutive_1_threshold_0.627,7
38,2012-12-02 06:00:00,True,0.6136111111111111,932.7849068252777,drift_detected_consecutive_1_threshold_0.614,8
42,2012-12-05 11:00:00,True,0.6336111111111111,1307.5861783693874,drift_detected_consecutive_1_threshold_0.634,9
46,2012-12-09 10:00:00,True,0.6616666666666666,866.0468933712102,drift_detected_consecutive_1_threshold_0.662,10
50,2012-12-11 13:00:00,True,0.6763888888888889,1142.5171578633606,drift_detected_consecutive_1_threshold_0.676,11
54,2012-12-15 05:00:00,True,0.6586111111111111,1303.7891369102224,drift_detected_consecutive_1_threshold_0.659,12
58,2012-12-16 22:00:00,True,0.6619444444444444,1071.7504160690573,drift_detected_consecutive_1_threshold_0.662,13
62,2012-12-19 16:00:00,True,0.6966666666666667,1010.8234846974501,drift_detected_consecutive_1_threshold_0.697,14
66,2012-12-22 15:00:00,True,0.6866666666666666,1003.64283905561,drift_detected_consecutive_1_threshold_0.687,15
70,2012-12-26 15:00:00,True,0.8336111111111111,815.5325865843854,drift_detected_consecutive_1_threshold_0.834,16
