step,timestamp,drift_detected,drift_score,error,reason,total_retrains
0,2012-10-28 11:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,0
10,2012-11-07 02:00:00,False,0.0,164.62049421205217,fixed_schedule_every_10_steps,1
20,2012-11-15 03:00:00,False,0.0,265.0187363266809,fixed_schedule_every_10_steps,2
30,2012-11-24 11:00:00,False,0.0,255.20884580986885,fixed_schedule_every_10_steps,3
40,2012-12-03 13:00:00,False,0.0,172.26770631261527,fixed_schedule_every_10_steps,4
50,2012-12-11 13:00:00,False,0.0,165.27746180557608,fixed_schedule_every_10_steps,5
60,2012-12-18 13:00:00,False,0.0,134.50163360384445,fixed_schedule_every_10_steps,6
70,2012-12-26 15:00:00,False,0.0,221.4389635542057,fixed_schedule_every_10_steps,7
80,2013-01-03 20:00:00,False,0.0,245.72218011371723,fixed_schedule_every_10_steps,8
90,2013-01-12 20:00:00,False,0.0,264.8592695444132,fixed_schedule_every_10_steps,9
100,2013-01-23 05:00:00,False,0.0,235.0771218809542,fixed_schedule_every_10_steps,10
110,2013-02-05 01:00:00,False,0.0,229.84761525333388,fixed_schedule_every_10_steps,11
120,2013-02-14 13:00:00,False,0.0,188.6761532251721,fixed_schedule_every_10_steps,12
130,2013-02-23 23:00:00,False,0.0,196.57576137661425,fixed_schedule_every_10_steps,13
140,2013-03-05 08:00:00,False,0.0,245.52283197935435,fixed_schedule_every_10_steps,14
150,2013-03-16 07:00:00,False,0.0,270.7262514721501,fixed_schedule_every_10_steps,15
160,2013-03-26 19:00:00,False,0.0,171.53292201952897,fixed_schedule_every_10_steps,16
170,2013-04-05 12:00:00,False,0.0,167.30569789603828,fixed_schedule_every_10_steps,17
180,2013-04-12 12:00:00,False,0.0,182.84973372235095,fixed_schedule_every_10_steps,18
190,2013-04-19 10:00:00,False,0.0,168.38161623421212,fixed_schedule_every_10_steps,19
200,2013-04-26 04:00:00,False,0.0,176.56959621285964,fixed_schedule_every_10_steps,20
210,2013-05-04 18:00:00,False,0.0,147.70150982859644,fixed_schedule_every_10_steps,21
220,2013-05-13 20:00:00,False,0.0,174.00061325999997,fixed_schedule_every_10_steps,22
230,2013-05-21 07:00:00,False,0.0,179.84666104260333,fixed_schedule_every_10_steps,23
240,2013-05-28 23:00:00,False,0.0,153.76600761322175,fixed_schedule_every_10_steps,24
250,2013-06-06 06:00:00,False,0.0,153.5237336499394,fixed_schedule_every_10_steps,25
260,2013-06-13 17:00:00,False,0.0,186.27736678860188,fixed_schedule_every_10_steps,26
270,2013-06-25 07:00:00,False,0.0,283.72793108142343,fixed_schedule_every_10_steps,27
280,2013-07-05 03:00:00,False,0.0,323.28026282365164,fixed_schedule_every_10_steps,28
290,2013-07-14 14:00:00,False,0.0,146.91654437988376,fixed_schedule_every_10_steps,29
300,2013-07-25 06:00:00,False,0.0,113.79026154963708,fixed_schedule_every_10_steps,30
310,2013-08-03 17:00:00,False,0.0,203.9105157838114,fixed_schedule_every_10_steps,31
320,2013-08-13 22:00:00,False,0.0,124.13289396951768,fixed_schedule_every_10_steps,32
330,2013-08-25 06:00:00,False,0.0,161.50966070406963,fixed_schedule_every_10_steps,33
340,2013-09-10 22:00:00,False,0.0,309.75775014120217,fixed_schedule_every_10_steps,34
350,2013-09-26 00:00:00,False,0.0,309.8470978304086,fixed_schedule_every_10_steps,35
360,2013-10-08 18:00:00,False,0.0,273.9212961514891,fixed_schedule_every_10_steps,36
370,2013-10-21 08:00:00,False,0.0,250.93225650654153,fixed_schedule_every_10_steps,37
380,2013-11-14 01:00:00,False,0.0,276.94303383526005,fixed_schedule_every_10_steps,38
390,2013-11-23 13:00:00,False,0.0,137.7265287666449,fixed_schedule_every_10_steps,39
400,2013-12-02 22:00:00,False,0.0,348.3620324119747,fixed_schedule_every_10_steps,40
410,2013-12-10 01:00:00,False,0.0,261.1164110044936,fixed_schedule_every_10_steps,41
420,2013-12-19 17:00:00,False,0.0,144.26885076736474,fixed_schedule_every_10_steps,42
430,2013-12-28 10:00:00,False,0.0,227.79748398611372,fixed_schedule_every_10_steps,43
440,2014-01-07 03:00:00,False,0.0,224.6169340520459,fixed_schedule_every_10_steps,44
450,2014-01-16 07:00:00,False,0.0,204.10716445881383,fixed_schedule_every_10_steps,45
460,2014-01-25 22:00:00,False,0.0,193.93098133821556,fixed_schedule_every_10_steps,46
470,2014-02-04 09:00:00,False,0.0,148.7662289828113,fixed_schedule_every_10_steps,47
480,2014-02-14 09:00:00,False,0.0,161.9498435227002,fixed_schedule_every_10_steps,48
490,2014-02-24 09:00:00,False,0.0,216.98054771247797,fixed_schedule_every_10_steps,49
500,2014-03-06 11:00:00,False,0.0,191.59686018099947,fixed_schedule_every_10_steps,50
510,2014-03-16 12:00:00,False,0.0,204.65901340015824,fixed_schedule_every_10_steps,51
520,2014-03-26 12:00:00,False,0.0,147.73806664662206,fixed_schedule_every_10_steps,52
530,2014-04-05 13:00:00,False,0.0,134.59578703615512,fixed_schedule_every_10_steps,53
540,2014-04-15 13:00:00,False,0.0,173.00844361283094,fixed_schedule_every_10_steps,54
