step,timestamp,drift_detected,drift_score,error,reason,total_retrains
0,2012-10-28 11:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,0
10,2012-11-07 02:00:00,False,0.0,1671.5333333333333,fixed_schedule_every_10_steps,1
20,2012-11-15 03:00:00,False,0.0,2347.241666666667,fixed_schedule_every_10_steps,2
30,2012-11-24 11:00:00,False,0.0,2694.266666666667,fixed_schedule_every_10_steps,3
40,2012-12-03 13:00:00,False,0.0,1666.7916666666667,fixed_schedule_every_10_steps,4
50,2012-12-11 13:00:00,False,0.0,2141.1,fixed_schedule_every_10_steps,5
60,2012-12-18 13:00:00,False,0.0,2093.925,fixed_schedule_every_10_steps,6
70,2012-12-26 15:00:00,False,0.0,3096.2833333333338,fixed_schedule_every_10_steps,7
80,2013-01-03 20:00:00,False,0.0,1943.875,fixed_schedule_every_10_steps,8
90,2013-01-12 20:00:00,False,0.0,1683.7416666666663,fixed_schedule_every_10_steps,9
100,2013-01-23 05:00:00,False,0.0,1709.5166666666664,fixed_schedule_every_10_steps,10
110,2013-02-05 01:00:00,False,0.0,2412.025,fixed_schedule_every_10_steps,11
120,2013-02-14 13:00:00,False,0.0,2569.866666666667,fixed_schedule_every_10_steps,12
130,2013-02-23 23:00:00,False,0.0,2257.175,fixed_schedule_every_10_steps,13
140,2013-03-05 08:00:00,False,0.0,1793.3333333333333,fixed_schedule_every_10_steps,14
150,2013-03-16 07:00:00,False,0.0,1645.475,fixed_schedule_every_10_steps,15
160,2013-03-26 19:00:00,False,0.0,2004.25,fixed_schedule_every_10_steps,16
170,2013-04-05 12:00:00,False,0.0,1885.4833333333331,fixed_schedule_every_10_steps,17
180,2013-04-12 12:00:00,False,0.0,1979.4833333333336,fixed_schedule_every_10_steps,18
190,2013-04-19 10:00:00,False,0.0,2770.741666666667,fixed_schedule_every_10_steps,19
200,2013-04-26 04:00:00,False,0.0,1922.7833333333335,fixed_schedule_every_10_steps,20
210,2013-05-04 18:00:00,False,0.0,3741.7,fixed_schedule_every_10_steps,21
220,2013-05-13 20:00:00,False,0.0,2015.2916666666665,fixed_schedule_every_10_steps,22
230,2013-05-21 07:00:00,False,0.0,1687.95,fixed_schedule_every_10_steps,23
240,2013-05-28 23:00:00,False,0.0,3284.5416666666665,fixed_schedule_every_10_steps,24
250,2013-06-06 06:00:00,False,0.0,2137.625,fixed_schedule_every_10_steps,25
260,2013-06-13 17:00:00,False,0.0,2245.925,fixed_schedule_every_10_steps,26
270,2013-06-25 07:00:00,False,0.0,3632.3666666666663,fixed_schedule_every_10_steps,27
280,2013-07-05 03:00:00,False,0.0,3251.7916666666665,fixed_schedule_every_10_steps,28
290,2013-07-14 14:00:00,False,0.0,2879.1083333333336,fixed_schedule_every_10_steps,29
300,2013-07-25 06:00:00,False,0.0,1723.85,fixed_schedule_every_10_steps,30
310,2013-08-03 17:00:00,False,0.0,2137.95,fixed_schedule_every_10_steps,31
320,2013-08-13 22:00:00,False,0.0,1749.7666666666669,fixed_schedule_every_10_steps,32
330,2013-08-25 06:00:00,False,0.0,2076.4,fixed_schedule_every_10_steps,33
340,2013-09-10 22:00:00,False,0.0,3006.575,fixed_schedule_every_10_steps,34
350,2013-09-26 00:00:00,False,0.0,1892.0916666666667,fixed_schedule_every_10_steps,35
360,2013-10-08 18:00:00,False,0.0,1906.4833333333336,fixed_schedule_every_10_steps,36
370,2013-10-21 08:00:00,False,0.0,3067.358333333333,fixed_schedule_every_10_steps,37
380,2013-11-14 01:00:00,False,0.0,3690.0166666666664,fixed_schedule_every_10_steps,38
390,2013-11-23 13:00:00,False,0.0,3017.225,fixed_schedule_every_10_steps,39
400,2013-12-02 22:00:00,False,0.0,2325.391666666667,fixed_schedule_every_10_steps,40
410,2013-12-10 01:00:00,False,0.0,1620.1083333333333,fixed_schedule_every_10_steps,41
420,2013-12-19 17:00:00,False,0.0,2464.775,fixed_schedule_every_10_steps,42
430,2013-12-28 10:00:00,False,0.0,4189.866666666667,fixed_schedule_every_10_steps,43
440,2014-01-07 03:00:00,False,0.0,1544.9250000000002,fixed_schedule_every_10_steps,44
450,2014-01-16 07:00:00,False,0.0,2674.416666666667,fixed_schedule_every_10_steps,45
460,2014-01-25 22:00:00,False,0.0,2438.491666666667,fixed_schedule_every_10_steps,46
470,2014-02-04 09:00:00,False,0.0,1598.7583333333334,fixed_schedule_every_10_steps,47
480,2014-02-14 09:00:00,False,0.0,2433.8500000000004,fixed_schedule_every_10_steps,48
490,2014-02-24 09:00:00,False,0.0,3056.208333333333,fixed_schedule_every_10_steps,49
500,2014-03-06 11:00:00,False,0.0,1746.5416666666667,fixed_schedule_every_10_steps,50
510,2014-03-16 12:00:00,False,0.0,1805.25,fixed_schedule_every_10_steps,51
520,2014-03-26 12:00:00,False,0.0,1762.95,fixed_schedule_every_10_steps,52
