step,timestamp,drift_detected,drift_score,error,reason,total_retrains
0,2012-10-28 11:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,0
10,2012-11-07 02:00:00,False,0.0,282.4042912449538,fixed_schedule_every_10_steps,1
20,2012-11-15 03:00:00,False,0.0,374.717348034285,fixed_schedule_every_10_steps,2
30,2012-11-24 11:00:00,False,0.0,325.16639553015597,fixed_schedule_every_10_steps,3
40,2012-12-03 13:00:00,False,0.0,338.6136012197263,fixed_schedule_every_10_steps,4
50,2012-12-11 13:00:00,False,0.0,331.6084096257292,fixed_schedule_every_10_steps,5
60,2012-12-18 13:00:00,False,0.0,304.72113495620073,fixed_schedule_every_10_steps,6
70,2012-12-26 15:00:00,False,0.0,315.0621510524593,fixed_schedule_every_10_steps,7
80,2013-01-03 20:00:00,False,0.0,415.1812344369649,fixed_schedule_every_10_steps,8
90,2013-01-12 20:00:00,False,0.0,373.2450304745886,fixed_schedule_every_10_steps,9
100,2013-01-23 05:00:00,False,0.0,397.24947760859686,fixed_schedule_every_10_steps,10
110,2013-02-05 01:00:00,False,0.0,313.0024254226124,fixed_schedule_every_10_steps,11
120,2013-02-14 13:00:00,False,0.0,384.9362645288561,fixed_schedule_every_10_steps,12
130,2013-02-23 23:00:00,False,0.0,328.4457766870579,fixed_schedule_every_10_steps,13
140,2013-03-05 08:00:00,False,0.0,348.34366373057446,fixed_schedule_every_10_steps,14
150,2013-03-16 07:00:00,False,0.0,474.67668383589927,fixed_schedule_every_10_steps,15
160,2013-03-26 19:00:00,False,0.0,267.046251984562,fixed_schedule_every_10_steps,16
170,2013-04-05 12:00:00,False,0.0,306.68264001063346,fixed_schedule_every_10_steps,17
180,2013-04-12 12:00:00,False,0.0,303.6733450919725,fixed_schedule_every_10_steps,18
190,2013-04-19 10:00:00,False,0.0,377.68613995358976,fixed_schedule_every_10_steps,19
200,2013-04-26 04:00:00,False,0.0,417.41987846826913,fixed_schedule_every_10_steps,20
210,2013-05-04 18:00:00,False,0.0,241.79209076063466,fixed_schedule_every_10_steps,21
220,2013-05-13 20:00:00,False,0.0,265.9404065813658,fixed_schedule_every_10_steps,22
230,2013-05-21 07:00:00,False,0.0,362.46701643691233,fixed_schedule_every_10_steps,23
240,2013-05-28 23:00:00,False,0.0,287.46739341180495,fixed_schedule_every_10_steps,24
250,2013-06-06 06:00:00,False,0.0,276.61098620931267,fixed_schedule_every_10_steps,25
260,2013-06-13 17:00:00,False,0.0,353.77737518106403,fixed_schedule_every_10_steps,26
270,2013-06-25 07:00:00,False,0.0,477.0773233934589,fixed_schedule_every_10_steps,27
280,2013-07-05 03:00:00,False,0.0,394.4309679509762,fixed_schedule_every_10_steps,28
290,2013-07-14 14:00:00,False,0.0,292.5033561249628,fixed_schedule_every_10_steps,29
300,2013-07-25 06:00:00,False,0.0,293.2827260424919,fixed_schedule_every_10_steps,30
310,2013-08-03 17:00:00,False,0.0,388.8306538790524,fixed_schedule_every_10_steps,31
320,2013-08-13 22:00:00,False,0.0,247.74226061571417,fixed_schedule_every_10_steps,32
330,2013-08-25 06:00:00,False,0.0,342.81770299447777,fixed_schedule_every_10_steps,33
340,2013-09-10 22:00:00,False,0.0,416.3964668731752,fixed_schedule_every_10_steps,34
350,2013-09-26 00:00:00,False,0.0,453.81222310123604,fixed_schedule_every_10_steps,35
360,2013-10-08 18:00:00,False,0.0,446.3982355501301,fixed_schedule_every_10_steps,36
370,2013-10-21 08:00:00,False,0.0,339.2029078821385,fixed_schedule_every_10_steps,37
380,2013-11-14 01:00:00,False,0.0,343.37964350740646,fixed_schedule_every_10_steps,38
390,2013-11-23 13:00:00,False,0.0,248.42020567305343,fixed_schedule_every_10_steps,39
400,2013-12-02 22:00:00,False,0.0,448.8502164403275,fixed_schedule_every_10_steps,40
410,2013-12-10 01:00:00,False,0.0,394.22480111891906,fixed_schedule_every_10_steps,41
420,2013-12-19 17:00:00,False,0.0,423.4116493308594,fixed_schedule_every_10_steps,42
430,2013-12-28 10:00:00,False,0.0,381.0020990236112,fixed_schedule_every_10_steps,43
440,2014-01-07 03:00:00,False,0.0,366.7867985234832,fixed_schedule_every_10_steps,44
450,2014-01-16 07:00:00,False,0.0,366.9018454067762,fixed_schedule_every_10_steps,45
460,2014-01-25 22:00:00,False,0.0,271.2569365098665,fixed_schedule_every_10_steps,46
470,2014-02-04 09:00:00,False,0.0,306.793374368461,fixed_schedule_every_10_steps,47
480,2014-02-14 09:00:00,False,0.0,369.083595776688,fixed_schedule_every_10_steps,48
490,2014-02-24 09:00:00,False,0.0,354.59454766587015,fixed_schedule_every_10_steps,49
500,2014-03-06 11:00:00,False,0.0,328.88031723110277,fixed_schedule_every_10_steps,50
510,2014-03-16 12:00:00,False,0.0,321.5288066089538,fixed_schedule_every_10_steps,51
520,2014-03-26 12:00:00,False,0.0,290.6686616014768,fixed_schedule_every_10_steps,52
530,2014-04-05 13:00:00,False,0.0,305.8727641741141,fixed_schedule_every_10_steps,53
540,2014-04-15 13:00:00,False,0.0,336.20156002669376,fixed_schedule_every_10_steps,54
550,2014-04-25 13:00:00,False,0.0,368.4082202031285,fixed_schedule_every_10_steps,55
