step,timestamp,drift_detected,drift_score,error,reason,total_retrains
0,2012-10-28 11:00:00,False,0.0,0.0,fixed_schedule_every_10_steps,0
10,2012-11-07 02:00:00,False,0.0,996.3666666666668,fixed_schedule_every_10_steps,1
20,2012-11-15 03:00:00,False,0.0,1866.2583333333337,fixed_schedule_every_10_steps,2
30,2012-11-24 11:00:00,False,0.0,2455.75,fixed_schedule_every_10_steps,3
40,2012-12-03 13:00:00,False,0.0,2380.791666666667,fixed_schedule_every_10_steps,4
50,2012-12-11 13:00:00,False,0.0,2599.575,fixed_schedule_every_10_steps,5
60,2012-12-18 13:00:00,False,0.0,1607.5666666666666,fixed_schedule_every_10_steps,6
70,2012-12-26 15:00:00,False,0.0,1647.0166666666669,fixed_schedule_every_10_steps,7
80,2013-01-03 20:00:00,False,0.0,2115.491666666667,fixed_schedule_every_10_steps,8
90,2013-01-12 20:00:00,False,0.0,1938.4333333333336,fixed_schedule_every_10_steps,9
100,2013-01-23 05:00:00,False,0.0,1929.275,fixed_schedule_every_10_steps,10
110,2013-02-05 01:00:00,False,0.0,1480.6333333333334,fixed_schedule_every_10_steps,11
120,2013-02-14 13:00:00,False,0.0,2981.891666666667,fixed_schedule_every_10_steps,12
130,2013-02-23 23:00:00,False,0.0,2147.4416666666666,fixed_schedule_every_10_steps,13
140,2013-03-05 08:00:00,False,0.0,1653.3416666666665,fixed_schedule_every_10_steps,14
150,2013-03-16 07:00:00,False,0.0,2204.5333333333338,fixed_schedule_every_10_steps,15
160,2013-03-26 19:00:00,False,0.0,2967.175,fixed_schedule_every_10_steps,16
170,2013-04-05 12:00:00,False,0.0,3224.0916666666667,fixed_schedule_every_10_steps,17
180,2013-04-12 12:00:00,False,0.0,2576.608333333333,fixed_schedule_every_10_steps,18
190,2013-04-19 10:00:00,False,0.0,3047.883333333333,fixed_schedule_every_10_steps,19
200,2013-04-26 04:00:00,False,0.0,3324.2333333333336,fixed_schedule_every_10_steps,20
210,2013-05-04 18:00:00,False,0.0,2059.675,fixed_schedule_every_10_steps,21
220,2013-05-13 20:00:00,False,0.0,2050.0916666666667,fixed_schedule_every_10_steps,22
230,2013-05-21 07:00:00,False,0.0,2962.541666666667,fixed_schedule_every_10_steps,23
240,2013-05-28 23:00:00,False,0.0,2653.5166666666664,fixed_schedule_every_10_steps,24
250,2013-06-06 06:00:00,False,0.0,2849.4916666666672,fixed_schedule_every_10_steps,25
260,2013-06-13 17:00:00,False,0.0,2794.375,fixed_schedule_every_10_steps,26
270,2013-06-25 07:00:00,False,0.0,2596.3499999999995,fixed_schedule_every_10_steps,27
280,2013-07-05 03:00:00,False,0.0,2976.775,fixed_schedule_every_10_steps,28
290,2013-07-14 14:00:00,False,0.0,1780.4,fixed_schedule_every_10_steps,29
300,2013-07-25 06:00:00,False,0.0,3132.9666666666667,fixed_schedule_every_10_steps,30
310,2013-08-03 17:00:00,False,0.0,2646.9833333333336,fixed_schedule_every_10_steps,31
320,2013-08-13 22:00:00,False,0.0,2394.7166666666662,fixed_schedule_every_10_steps,32
330,2013-08-25 06:00:00,False,0.0,2592.6833333333334,fixed_schedule_every_10_steps,33
340,2013-09-10 22:00:00,False,0.0,2137.541666666667,fixed_schedule_every_10_steps,34
350,2013-09-26 00:00:00,False,0.0,1975.1,fixed_schedule_every_10_steps,35
360,2013-10-08 18:00:00,False,0.0,2302.1916666666666,fixed_schedule_every_10_steps,36
370,2013-10-21 08:00:00,False,0.0,2811.9916666666663,fixed_schedule_every_10_steps,37
380,2013-11-14 01:00:00,False,0.0,2233.1916666666666,fixed_schedule_every_10_steps,38
390,2013-11-23 13:00:00,False,0.0,3354.5916666666662,fixed_schedule_every_10_steps,39
400,2013-12-02 22:00:00,False,0.0,2627.483333333333,fixed_schedule_every_10_steps,40
410,2013-12-10 01:00:00,False,0.0,1883.1583333333335,fixed_schedule_every_10_steps,41
420,2013-12-19 17:00:00,False,0.0,2709.891666666667,fixed_schedule_every_10_steps,42
430,2013-12-28 10:00:00,False,0.0,2228.6916666666666,fixed_schedule_every_10_steps,43
440,2014-01-07 03:00:00,False,0.0,2413.5583333333334,fixed_schedule_every_10_steps,44
450,2014-01-16 07:00:00,False,0.0,1901.6,fixed_schedule_every_10_steps,45
460,2014-01-25 22:00:00,False,0.0,2802.75,fixed_schedule_every_10_steps,46
470,2014-02-04 09:00:00,False,0.0,2861.3916666666664,fixed_schedule_every_10_steps,47
480,2014-02-14 09:00:00,False,0.0,284.0166666666667,fixed_schedule_every_10_steps,48
490,2014-02-24 09:00:00,False,0.0,1180.9833333333333,fixed_schedule_every_10_steps,49
500,2014-03-06 11:00:00,False,0.0,1491.3583333333331,fixed_schedule_every_10_steps,50
510,2014-03-16 12:00:00,False,0.0,808.0916666666666,fixed_schedule_every_10_steps,51
520,2014-03-26 12:00:00,False,0.0,994.9083333333334,fixed_schedule_every_10_steps,52
530,2014-04-05 13:00:00,False,0.0,569.1583333333333,fixed_schedule_every_10_steps,53
540,2014-04-15 13:00:00,False,0.0,823.0,fixed_schedule_every_10_steps,54
550,2014-04-25 13:00:00,False,0.0,455.54166666666663,fixed_schedule_every_10_steps,55
560,2014-05-09 02:00:00,False,0.0,1614.875,fixed_schedule_every_10_steps,56
570,2014-05-17 16:00:00,False,0.0,2846.1249999999995,fixed_schedule_every_10_steps,57
580,2014-05-25 19:00:00,False,0.0,1802.45,fixed_schedule_every_10_steps,58
590,2014-06-03 22:00:00,False,0.0,1754.6750000000004,fixed_schedule_every_10_steps,59
600,2014-06-19 07:00:00,False,0.0,1536.0916666666667,fixed_schedule_every_10_steps,60
610,2014-07-09 18:00:00,False,0.0,1821.8583333333331,fixed_schedule_every_10_steps,61
620,2014-07-18 19:00:00,False,0.0,687.0833333333333,fixed_schedule_every_10_steps,62
630,2014-08-01 06:00:00,False,0.0,2859.666666666667,fixed_schedule_every_10_steps,63
640,2015-06-28 14:00:00,False,0.0,2837.7666666666664,fixed_schedule_every_10_steps,64
650,2015-07-06 10:00:00,False,0.0,1719.9,fixed_schedule_every_10_steps,65
660,2015-07-15 03:00:00,False,0.0,3123.575,fixed_schedule_every_10_steps,66
670,2015-07-23 19:00:00,False,0.0,2819.741666666667,fixed_schedule_every_10_steps,67
680,2015-08-02 02:00:00,False,0.0,2370.1250000000005,fixed_schedule_every_10_steps,68
690,2015-08-10 23:00:00,False,0.0,1727.3666666666668,fixed_schedule_every_10_steps,69
700,2015-08-19 01:00:00,False,0.0,2571.866666666667,fixed_schedule_every_10_steps,70
710,2015-08-27 10:00:00,False,0.0,1876.5083333333332,fixed_schedule_every_10_steps,71
720,2015-09-05 20:00:00,False,0.0,2714.35,fixed_schedule_every_10_steps,72
730,2015-09-13 22:00:00,False,0.0,1990.9249999999997,fixed_schedule_every_10_steps,73
740,2015-09-22 12:00:00,False,0.0,2367.666666666667,fixed_schedule_every_10_steps,74
750,2015-10-01 22:00:00,False,0.0,2353.6,fixed_schedule_every_10_steps,75
760,2015-10-12 14:00:00,False,0.0,2628.975,fixed_schedule_every_10_steps,76
770,2015-10-28 15:00:00,False,0.0,2758.608333333333,fixed_schedule_every_10_steps,77
780,2015-11-12 04:00:00,False,0.0,2563.35,fixed_schedule_every_10_steps,78
790,2015-11-26 08:00:00,False,0.0,2155.45,fixed_schedule_every_10_steps,79
800,2015-12-10 12:00:00,False,0.0,2555.141666666667,fixed_schedule_every_10_steps,80
810,2015-12-23 12:00:00,False,0.0,2760.7499999999995,fixed_schedule_every_10_steps,81
820,2016-01-04 07:00:00,False,0.0,2325.3333333333335,fixed_schedule_every_10_steps,82
830,2016-01-15 16:00:00,False,0.0,2129.9666666666667,fixed_schedule_every_10_steps,83
840,2016-01-28 05:00:00,False,0.0,2161.758333333333,fixed_schedule_every_10_steps,84
