step,timestamp,drift_detected,drift_score,error,reason,total_retrains
3,1994-12-30,True,1.0,0.3062619124510622,drift_detected_consecutive_1_threshold_1.000,0
7,1997-08-28,True,1.0,0.3422678698737687,drift_detected_consecutive_1_threshold_1.000,1
11,2000-05-04,True,1.0,0.8291130752661016,drift_detected_consecutive_1_threshold_1.000,2
15,2003-01-10,True,0.995,1.881619876563071,drift_detected_consecutive_1_threshold_0.995,3
19,2005-09-19,True,0.8351388888888889,6.743714209173935,drift_detected_consecutive_1_threshold_0.835,4
23,2008-05-23,True,0.5641666666666667,17.721645910046508,drift_detected_consecutive_1_threshold_0.564,5
27,2011-01-24,True,0.995,13.905095322495606,drift_detected_consecutive_1_threshold_0.995,6
31,2013-09-23,True,0.995,1.7458049761061758,drift_detected_consecutive_1_threshold_0.995,7
35,2016-05-24,True,1.0,1.798118636763005,drift_detected_consecutive_1_threshold_1.000,8
39,2019-01-30,True,1.0,1.6605506592318466,drift_detected_consecutive_1_threshold_1.000,9
43,2021-10-04,True,0.995,2.0004014969855666,drift_detected_consecutive_1_threshold_0.995,10
