step,timestamp,drift_detected,drift_score,error,reason,total_retrains
3,1994-12-30,True,1.0,2.015218253968254,drift_detected_consecutive_1_threshold_1.000,0
7,1997-08-28,True,1.0,2.8357261904761906,drift_detected_consecutive_1_threshold_1.000,1
11,2000-05-04,True,0.8843055555555556,4.393297619047619,drift_detected_consecutive_1_threshold_0.884,2
15,2003-01-10,True,0.9936111111111111,5.2737380952380954,drift_detected_consecutive_1_threshold_0.994,3
19,2005-09-19,True,0.9088888888888889,10.272130952380953,drift_detected_consecutive_1_threshold_0.909,4
23,2008-05-23,True,0.5741666666666667,20.828714285714284,drift_detected_consecutive_1_threshold_0.574,5
27,2011-01-24,True,1.0,44.309916666666666,drift_detected_consecutive_1_threshold_1.000,6
31,2013-09-23,True,0.8084722222222223,17.91665476190476,drift_detected_consecutive_1_threshold_0.808,7
35,2016-05-24,True,1.0,32.69057142857143,drift_detected_consecutive_1_threshold_1.000,8
39,2019-01-30,True,0.7958333333333333,33.26154761904762,drift_detected_consecutive_1_threshold_0.796,9
43,2021-10-04,True,0.7095833333333333,13.88165476190476,drift_detected_consecutive_1_threshold_0.710,10
