config,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,retrains_mean,retrains_std
brent_adaptive_retrain_lgbm,5,4.000780767988215,0.0,10.675721321715496,0.0,7.329472667074683,0.0,11.0,0.0
brent_adaptive_retrain_lstm,5,39.167837635912576,1.2300687345455328,50.686056687972965,1.5975141838664497,56.06881625786973,0.5048442515258407,10.0,0.0
brent_adaptive_retrain_naive,5,17.99907332251082,0.0,25.856369693893505,3.972054645195637e-15,30.916836311880456,3.972054645195637e-15,11.0,0.0
brent_adaptive_retrain_rf,5,4.603311855820522,0.007062994075494253,11.510446982710604,0.012814887753279082,8.481216640956653,0.02908828326084833,11.0,0.0
brent_adaptive_retrain_seasonal_naive,5,18.73003382034632,0.0,26.294765385429535,3.972054645195637e-15,32.96353508201298,0.0,11.0,0.0
brent_adaptive_retrain_tsmixer,5,1.3935524559189472,0.0,2.642998347594782,0.0,2.8601610730741505,0.0,11.0,0.0
brent_fixed_retrain_lgbm,5,8.819921970571977,0.0,18.08819891654237,0.0,15.307653747198634,1.9860273225978185e-15,5.0,0.0
brent_fixed_retrain_lstm,5,38.87026764751931,1.9215036654444209,50.83413578020564,3.4770698978195482,58.93826678509239,0.9532052943870489,5.0,0.0
brent_fixed_retrain_naive,5,22.763940746753246,0.0,31.651655108657813,0.0,38.04016376823389,0.0,5.0,0.0
brent_fixed_retrain_rf,5,9.94648870044365,0.03569231465257915,19.113124051190926,0.053094129419993634,17.228821262974073,0.07357037400873592,5.0,0.0
brent_fixed_retrain_seasonal_naive,5,22.932069805194807,0.0,31.600285238229198,0.0,39.08148795274665,0.0,5.0,0.0
brent_fixed_retrain_tsmixer,5,1.5131012286499455,0.0,3.0870350899291976,0.0,3.2496064671134604,0.0,5.0,0.0
brent_no_retrain_lgbm,5,19.089569595060933,0.0,31.61456047039344,0.0,31.576523896784458,0.0,1.0,0.0
brent_no_retrain_lstm,5,27.886673371270348,0.09161227551974573,34.36468911630054,0.2694020185913939,57.47465622429708,0.23185161560140524,1.0,0.0
brent_no_retrain_naive,5,35.762988365800865,0.0,47.63597763475791,0.0,80.38037343133772,0.0,1.0,0.0
brent_no_retrain_rf,5,21.676174883874392,0.17497098959380877,33.601038768294394,0.19078796517454058,35.74599188660585,0.4240397841050642,1.0,0.0
brent_no_retrain_seasonal_naive,5,35.4322876082251,0.0,47.28833692098619,0.0,79.1122190213927,0.0,1.0,0.0
brent_no_retrain_tsmixer,5,1.8138087926330175,0.0,4.256400290166738,0.0,3.7916789049038018,0.0,1.0,0.0
electricity_adaptive_retrain_lgbm,5,210.422328414833,3.1776437161565096e-14,458.53630194502387,0.0,16.500665734918975,0.0,519.0,0.0
electricity_adaptive_retrain_lstm,5,787.7723485722055,8.588059955742517,1417.6097704715285,19.603637025320015,39.288375458610616,2.5888531333415483,769.8,31.57847368065784
electricity_adaptive_retrain_naive,5,959.5809568480302,1.2710574864626038e-13,1691.4784597366204,2.5421149729252077e-13,44.857685377986876,0.0,299.0,0.0
electricity_adaptive_retrain_rf,5,204.10285412121033,9.356890127210995,445.05867393724776,11.02124038005049,13.027300127658819,1.5275082955616857,927.6,25.85149898942032
electricity_adaptive_retrain_seasonal_naive,5,456.79813946216393,6.355287432313019e-14,699.5792697577572,0.0,28.60075370122459,0.0,141.0,0.0
electricity_adaptive_retrain_tsmixer,5,557.7891269602806,0.0,962.545739381482,1.2710574864626038e-13,58.41118331448886,0.0,384.0,0.0
electricity_fixed_retrain_lgbm,5,122.65712866103146,1.5888218580782548e-14,329.7916762221077,0.0,6.1833639510703104,0.0,533.0,0.0
electricity_fixed_retrain_lstm,5,811.0676085579979,14.953258358287643,1519.5390660413973,30.151948937196643,37.332841494965734,0.22543843256015447,533.0,0.0
electricity_fixed_retrain_naive,5,926.3639931207005,0.0,1704.6235685877223,2.5421149729252077e-13,43.64191828997983,0.0,533.0,0.0
